,symbol,optionType,expiration,strike,lastPrice,lastTradeDate,inTheMoney,maturity,S0,sigma,returns,method
0,AAPL,calls,2023-11-24,75.0,100.21,2023-11-03,True,21,176.41757202148438,0.33264388226831765,0.25623497870537515,A
1,AAPL,puts,2023-11-24,95.0,0.01,2023-11-03,False,21,176.41757202148438,0.33264388226831765,0.25623497870537515,A
2,AAPL,puts,2023-12-01,50.0,0.01,2023-11-03,False,28,176.41757202148438,0.33264388226831765,0.25623497870537515,A
3,AAPL,puts,2023-12-01,90.0,0.01,2023-11-03,False,28,176.41757202148438,0.33264388226831765,0.25623497870537515,A
4,AAPL,puts,2023-12-01,95.0,0.01,2023-11-03,False,28,176.41757202148438,0.33264388226831765,0.25623497870537515,A
5,AAPL,puts,2023-12-01,230.0,53.81,2023-11-03,True,28,176.41757202148438,0.33264388226831765,0.25623497870537515,A
6,AAPL,puts,2023-12-08,50.0,0.02,2023-11-03,False,35,176.41757202148438,0.33264388226831765,0.25623497870537515,A
7,AAPL,puts,2023-12-08,250.0,75.0,2023-11-03,True,35,176.41757202148438,0.33264388226831765,0.25623497870537515,A
8,AAPL,calls,2023-12-15,280.0,0.01,2023-11-03,False,42,176.41757202148438,0.33264388226831765,0.25623497870537515,A
9,AAPL,puts,2023-12-15,70.0,0.01,2023-11-03,False,42,176.41757202148438,0.33264388226831765,0.25623497870537515,A
10,AAPL,puts,2023-12-15,230.0,54.25,2023-11-03,True,42,176.41757202148438,0.33264388226831765,0.25623497870537515,A
11,AAPL,puts,2023-12-15,280.0,104.45,2023-11-03,True,42,176.41757202148438,0.33264388226831765,0.25623497870537515,A
12,AAPL,calls,2023-12-22,125.0,50.77,2023-11-03,True,49,176.41757202148438,0.33264388226831765,0.25623497870537515,A
13,AAPL,puts,2024-02-16,65.0,0.03,2023-11-03,False,105,176.41757202148438,0.33264388226831765,0.25623497870537515,A
14,AAPL,calls,2024-03-15,55.0,121.0,2023-11-03,True,133,176.41757202148438,0.33264388226831765,0.25623497870537515,A
15,AAPL,calls,2024-03-15,270.0,0.04,2023-11-03,False,133,176.41757202148438,0.33264388226831765,0.25623497870537515,A
16,AAPL,calls,2024-12-20,110.0,72.65,2023-11-03,True,413,176.41757202148438,0.33264388226831765,0.25623497870537515,A
17,AAPL,puts,2025-01-17,300.0,124.45,2023-11-03,True,441,176.41757202148438,0.33264388226831765,0.25623497870537515,A
18,AAPL,calls,2025-09-19,110.0,76.23,2023-11-03,True,686,176.41757202148438,0.33264388226831765,0.25623497870537515,A
19,AAPL,calls,2025-09-19,135.0,56.1,2023-11-03,True,686,176.41757202148438,0.33264388226831765,0.25623497870537515,A
20,AAPL,calls,2025-09-19,150.0,47.14,2023-11-03,True,686,176.41757202148438,0.33264388226831765,0.25623497870537515,A
21,AAPL,calls,2025-12-19,80.0,103.22,2023-11-03,True,777,176.41757202148438,0.33264388226831765,0.25623497870537515,A
22,AAPL,puts,2025-12-19,75.0,0.93,2023-11-03,False,777,176.41757202148438,0.33264388226831765,0.25623497870537515,A
23,AAPL,calls,2023-11-24,90.0,81.35,2023-11-01,True,23,173.74110412597656,0.3327810649785608,0.253523501165073,A
24,AAPL,puts,2023-11-24,100.0,0.01,2023-11-01,False,23,173.74110412597656,0.3327810649785608,0.253523501165073,A
25,AAPL,puts,2023-12-08,105.0,0.02,2023-11-01,False,37,173.74110412597656,0.3327810649785608,0.253523501165073,A
26,AAPL,calls,2023-12-15,260.0,0.01,2023-11-01,False,44,173.74110412597656,0.3327810649785608,0.253523501165073,A
27,AAPL,calls,2023-12-15,265.0,0.01,2023-11-01,False,44,173.74110412597656,0.3327810649785608,0.253523501165073,A
28,AAPL,calls,2023-12-15,270.0,0.01,2023-11-01,False,44,173.74110412597656,0.3327810649785608,0.253523501165073,A
29,AAPL,puts,2023-12-15,235.0,63.75,2023-11-01,True,44,173.74110412597656,0.3327810649785608,0.253523501165073,A
30,AAPL,calls,2024-02-16,105.0,68.96,2023-11-01,True,107,173.74110412597656,0.3327810649785608,0.253523501165073,A
31,AAPL,calls,2024-03-15,105.0,69.65,2023-11-01,True,135,173.74110412597656,0.3327810649785608,0.253523501165073,A
32,AAPL,puts,2025-12-19,60.0,0.63,2023-11-01,False,779,173.74110412597656,0.3327810649785608,0.253523501165073,A
33,AAPL,calls,2023-11-24,95.0,77.1,2023-10-25,True,30,170.87489318847656,0.3330909292375819,0.2511298554032332,A
34,AAPL,calls,2023-11-24,105.0,67.15,2023-10-25,True,30,170.87489318847656,0.3330909292375819,0.2511298554032332,A
35,AAPL,puts,2023-11-24,90.0,0.01,2023-10-25,False,30,170.87489318847656,0.3330909292375819,0.2511298554032332,A
36,AAPL,puts,2024-02-16,320.0,148.59,2023-10-25,True,114,170.87489318847656,0.3330909292375819,0.2511298554032332,A
37,AAPL,puts,2024-06-21,290.0,118.72,2023-10-25,True,240,170.87489318847656,0.3330909292375819,0.2511298554032332,A
38,AAPL,calls,2023-11-24,100.0,85.83,2023-11-10,True,14,186.3999938964844,0.3322511979113869,0.2663902498394246,A
39,AAPL,calls,2023-12-08,125.0,61.43,2023-11-10,True,28,186.3999938964844,0.3322511979113869,0.2663902498394246,A
40,AAPL,calls,2023-12-08,240.0,0.01,2023-11-10,False,28,186.3999938964844,0.3322511979113869,0.2663902498394246,A
41,AAPL,calls,2023-12-15,255.0,0.01,2023-11-10,False,35,186.3999938964844,0.3322511979113869,0.2663902498394246,A
42,AAPL,puts,2023-12-22,100.0,0.01,2023-11-10,False,42,186.3999938964844,0.3322511979113869,0.2663902498394246,A
43,AAPL,puts,2024-01-19,230.0,44.75,2023-11-10,True,70,186.3999938964844,0.3322511979113869,0.2663902498394246,A
44,AAPL,calls,2024-02-16,50.0,136.4,2023-11-10,True,98,186.3999938964844,0.3322511979113869,0.2663902498394246,A
45,AAPL,calls,2024-02-16,100.0,87.38,2023-11-10,True,98,186.3999938964844,0.3322511979113869,0.2663902498394246,A
46,AAPL,calls,2024-02-16,145.0,43.0,2023-11-10,True,98,186.3999938964844,0.3322511979113869,0.2663902498394246,A
47,AAPL,calls,2024-02-16,305.0,0.01,2023-11-10,False,98,186.3999938964844,0.3322511979113869,0.2663902498394246,A
48,AAPL,calls,2024-02-16,320.0,0.01,2023-11-10,False,98,186.3999938964844,0.3322511979113869,0.2663902498394246,A
49,AAPL,puts,2024-02-16,70.0,0.02,2023-11-10,False,98,186.3999938964844,0.3322511979113869,0.2663902498394246,A
50,AAPL,puts,2024-02-16,80.0,0.04,2023-11-10,False,98,186.3999938964844,0.3322511979113869,0.2663902498394246,A
51,AAPL,puts,2024-02-16,85.0,0.04,2023-11-10,False,98,186.3999938964844,0.3322511979113869,0.2663902498394246,A
52,AAPL,calls,2024-03-15,50.0,136.89,2023-11-10,True,126,186.3999938964844,0.3322511979113869,0.2663902498394246,A
53,AAPL,puts,2024-03-15,65.0,0.02,2023-11-10,False,126,186.3999938964844,0.3322511979113869,0.2663902498394246,A
54,AAPL,puts,2024-03-15,220.0,34.0,2023-11-10,True,126,186.3999938964844,0.3322511979113869,0.2663902498394246,A
55,AAPL,calls,2024-04-19,260.0,0.09,2023-11-10,False,161,186.3999938964844,0.3322511979113869,0.2663902498394246,A
56,AAPL,calls,2024-06-21,70.0,117.85,2023-11-10,True,224,186.3999938964844,0.3322511979113869,0.2663902498394246,A
57,AAPL,calls,2024-06-21,80.0,108.84,2023-11-10,True,224,186.3999938964844,0.3322511979113869,0.2663902498394246,A
58,AAPL,calls,2024-09-20,90.0,99.2,2023-11-10,True,315,186.3999938964844,0.3322511979113869,0.2663902498394246,A
59,AAPL,calls,2024-09-20,95.0,94.75,2023-11-10,True,315,186.3999938964844,0.3322511979113869,0.2663902498394246,A
60,AAPL,calls,2025-01-17,75.0,113.3,2023-11-10,True,434,186.3999938964844,0.3322511979113869,0.2663902498394246,A
61,AAPL,calls,2025-06-20,110.0,85.37,2023-11-10,True,588,186.3999938964844,0.3322511979113869,0.2663902498394246,A
62,AAPL,puts,2025-06-20,90.0,0.93,2023-11-10,False,588,186.3999938964844,0.3322511979113869,0.2663902498394246,A
63,AAPL,puts,2025-06-20,95.0,1.23,2023-11-10,False,588,186.3999938964844,0.3322511979113869,0.2663902498394246,A
64,AAPL,puts,2025-06-20,250.0,65.6,2023-11-10,True,588,186.3999938964844,0.3322511979113869,0.2663902498394246,A
65,AAPL,puts,2025-06-20,300.0,114.54,2023-11-10,True,588,186.3999938964844,0.3322511979113869,0.2663902498394246,A
66,AAPL,calls,2025-09-19,85.0,107.5,2023-11-10,True,679,186.3999938964844,0.3322511979113869,0.2663902498394246,A
67,AAPL,calls,2025-09-19,245.0,9.5,2023-11-10,False,679,186.3999938964844,0.3322511979113869,0.2663902498394246,A
68,AAPL,calls,2025-09-19,250.0,8.15,2023-11-10,False,679,186.3999938964844,0.3322511979113869,0.2663902498394246,A
69,AAPL,puts,2025-09-19,80.0,0.83,2023-11-10,False,679,186.3999938964844,0.3322511979113869,0.2663902498394246,A
70,AAPL,puts,2025-09-19,205.0,27.75,2023-11-10,True,679,186.3999938964844,0.3322511979113869,0.2663902498394246,A
71,AAPL,calls,2025-12-19,60.0,130.25,2023-11-10,True,770,186.3999938964844,0.3322511979113869,0.2663902498394246,A
72,AAPL,calls,2025-12-19,65.0,125.3,2023-11-10,True,770,186.3999938964844,0.3322511979113869,0.2663902498394246,A
73,AAPL,calls,2025-12-19,85.0,107.35,2023-11-10,True,770,186.3999938964844,0.3322511979113869,0.2663902498394246,A
74,AAPL,calls,2025-12-19,90.0,103.78,2023-11-10,True,770,186.3999938964844,0.3322511979113869,0.2663902498394246,A
75,AAPL,calls,2026-01-16,95.0,101.0,2023-11-10,True,798,186.3999938964844,0.3322511979113869,0.2663902498394246,A
76,AAPL,puts,2026-01-16,85.0,1.23,2023-11-10,False,798,186.3999938964844,0.3322511979113869,0.2663902498394246,A
77,AAPL,calls,2023-11-24,130.0,48.95,2023-11-06,True,18,178.9941864013672,0.33256716594951746,0.2589834278712431,A
78,AAPL,puts,2023-11-24,115.0,0.01,2023-11-06,False,18,178.9941864013672,0.33256716594951746,0.2589834278712431,A
79,AAPL,calls,2023-12-01,50.0,127.55,2023-11-06,True,25,178.9941864013672,0.33256716594951746,0.2589834278712431,A
80,AAPL,puts,2023-12-08,95.0,0.01,2023-11-06,False,32,178.9941864013672,0.33256716594951746,0.2589834278712431,A
81,AAPL,calls,2024-04-19,105.0,75.72,2023-11-06,True,165,178.9941864013672,0.33256716594951746,0.2589834278712431,A
82,AAPL,calls,2024-12-20,100.0,84.3,2023-11-06,True,410,178.9941864013672,0.33256716594951746,0.2589834278712431,A
83,AAPL,puts,2025-06-20,55.0,0.18,2023-11-06,False,592,178.9941864013672,0.33256716594951746,0.2589834278712431,A
84,AAPL,puts,2025-06-20,65.0,0.34,2023-11-06,False,592,178.9941864013672,0.33256716594951746,0.2589834278712431,A
85,AAPL,calls,2023-11-24,230.0,0.01,2023-11-13,False,11,184.8000030517578,0.33214785592267443,0.2644308021885899,A
86,AAPL,puts,2023-11-24,105.0,0.01,2023-11-13,False,11,184.8000030517578,0.33214785592267443,0.2644308021885899,A
87,AAPL,calls,2023-12-01,135.0,50.11,2023-11-13,True,18,184.8000030517578,0.33214785592267443,0.2644308021885899,A
88,AAPL,calls,2023-12-15,100.0,85.45,2023-11-13,True,32,184.8000030517578,0.33214785592267443,0.2644308021885899,A
89,AAPL,puts,2023-12-15,65.0,0.01,2023-11-13,False,32,184.8000030517578,0.33214785592267443,0.2644308021885899,A
90,AAPL,calls,2023-12-22,135.0,50.56,2023-11-13,True,39,184.8000030517578,0.33214785592267443,0.2644308021885899,A
